Class,MTH,RFC,FLD,INT,BCM,NML,WRD,DCM,SZ,CPX,EX,RET,buggy
PeepholeCollectPropertyAssignments,9,96,0,0,2,9.815068493150685,0,5.0,132,38,0,40,0
CheckProvides,2,34,7,1,2,9.321428571428571,0,90.0,43,11,0,5,0
ScopedAliases,2,159,24,4,5,9.170731707317072,0,4.054054054054054,164,45,0,33,1
JsMessage,14,63,22,1,39,7.84,0,83.0909090909091,218,15,0,92,0
ConcreteType,22,188,21,1,70,9.82267441860465,0,109.0,229,41,0,173,0
GatherSideEffectSubexpressionsCallback,7,93,5,2,16,12.889705882352942,0,45.2,96,19,0,35,0
NodeIterators,0,59,5,2,12,8.368932038834952,0,11.48148148148148,80,17,0,29,0
PureFunctionIdentifier,9,296,24,4,38,10.004073319755602,0,8.179775280898877,420,102,0,88,1
CallGraph,21,108,19,1,44,11.244725738396625,0,119.08333333333331,211,49,0,76,0
LoggerErrorManager,2,17,2,0,4,9.551724137931034,0,0.0,16,3,0,2,0
CheckAccessControls,24,245,20,2,20,10.760683760683762,0,13.38095238095238,235,73,0,63,1
NameAnalyzer,25,533,37,8,89,9.411270983213427,0,16.58677685950413,645,158,0,132,1
PerformanceTracker,9,104,23,1,8,7.490683229813665,0,38.5,161,22,0,22,0
SimpleFunctionAliasAnalysis,4,27,2,0,6,8.5625,0,47.25,29,8,0,6,0
CheckMissingGetCssName,6,35,6,1,5,9.0188679245283,0,0.0,33,8,0,13,0
ErrorPass,1,2,2,1,2,6.5,0,0.0,4,0,0,1,0
SourceInformationAnnotator,2,19,2,0,2,10.0,0,51.333333333333336,23,6,0,2,0
MoveFunctionDeclarations,3,19,2,2,2,8.35483870967742,0,0.0,21,5,0,5,0
StrictWarningsGuard,2,4,2,0,2,6.75,0,95.0,5,1,0,5,0
NameReferenceGraphConstruction,7,221,8,2,14,11.307471264367816,0,5.105263157894737,251,63,0,62,0
ExportTestFunctions,4,52,4,1,5,12.078947368421051,0,44.4,42,11,0,10,0
AstValidator,64,384,1,1,2,13.701960784313725,0,4.166666666666667,408,52,0,106,0
